,level_0,index,id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
10,6554,11522,67851174,2021/01/09 7:54 AM EST,2021-01-09,2021-01-09 12:54:00 UTC,Eastern Time (US & Canada),505286,navin_sasikumar,2021-01-10 13:28:27 UTC,2021-01-10 13:55:44 UTC,research,CC-BY,https://www.inaturalist.org/observations/67851174,https://static.inaturalist.org/photos/109731066/medium.jpg,,,,1,0,False,,"Philadelphia, Pennsylvania, United States",40.0678866667,-75.2185699833,,,,,,,open,False,,,Downy Woodpecker,Dryobates pubescens,Downy Woodpecker,Aves,792988
11,6557,11525,67851186,2021/01/09 9:42 AM EST,2021-01-09,2021-01-09 14:42:00 UTC,Eastern Time (US & Canada),505286,navin_sasikumar,2021-01-10 13:28:31 UTC,2021-01-10 14:03:44 UTC,research,CC-BY,https://www.inaturalist.org/observations/67851186,https://static.inaturalist.org/photos/109731154/medium.jpg,,,,1,0,False,,"Philadelphia, Pennsylvania, United States",40.0836966667,-75.2303633167,,,,,,,open,False,,,Canada Goose,Branta canadensis,Canada Goose,Aves,7089
12,6558,11526,67862488,2021/01/05 1:23 PM EST,2021-01-05,2021-01-05 18:23:00 UTC,Eastern Time (US & Canada),521996,brennafarrell,2021-01-10 17:58:54 UTC,2021-01-11 02:06:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67862488,https://static.inaturalist.org/photos/109750605/medium.jpeg,,,There were some crows in a tree near the hawk.,1,0,False,,"Somerton, Philadelphia, PA 19116, USA",40.1234951677,-75.0223428791,60.0,,,,60.0,,open,False,,,Red-tailed Hawk,Buteo jamaicensis,Red-tailed Hawk,Aves,5212
13,6562,11538,67926813,2021/01/11 8:33 AM EST,2021-01-11,2021-01-11 13:33:00 UTC,Eastern Time (US & Canada),505286,navin_sasikumar,2021-01-11 22:28:58 UTC,2021-01-11 22:33:07 UTC,research,CC-BY,https://www.inaturalist.org/observations/67926813,https://static.inaturalist.org/photos/109873057/medium.jpg,,,,2,0,False,,"Fairmount Park, Philadelphia, PA, USA",39.9830542909,-75.2027211296,8.0,,,,8.0,,open,False,,,Hooded Merganser,Lophodytes cucullatus,Hooded Merganser,Aves,7109
14,6577,11560,68075329,2021/01/14 12:01 PM EST,2021-01-14,2021-01-14 17:01:00 UTC,Eastern Time (US & Canada),2350911,kellyfrank98,2021-01-14 22:52:13 UTC,2021-02-04 14:49:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68075329,https://inaturalist-open-data.s3.amazonaws.com/photos/110141288/medium.jpeg,,,,2,0,False,,"8601 Lindbergh Blvd., Philadelphia, PA 19153, USA",39.8921524,-75.2572137,565.0,,,,565.0,,open,False,,,Hooded Merganser,Lophodytes cucullatus,Hooded Merganser,Aves,7109
15,6578,11561,68075330,2021/01/14 12:01 PM EST,2021-01-14,2021-01-14 17:01:00 UTC,Eastern Time (US & Canada),2350911,kellyfrank98,2021-01-14 22:52:14 UTC,2021-02-04 14:49:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68075330,https://inaturalist-open-data.s3.amazonaws.com/photos/110141297/medium.jpeg,,,,2,0,False,,"8601 Lindbergh Blvd., Philadelphia, PA 19153, USA",39.8921524,-75.2572137,565.0,,,,565.0,,open,False,,,Hooded Merganser,Lophodytes cucullatus,Hooded Merganser,Aves,7109
16,6581,11564,68075334,2021/01/14 12:16 PM EST,2021-01-14,2021-01-14 17:16:00 UTC,Eastern Time (US & Canada),2350911,kellyfrank98,2021-01-14 22:52:15 UTC,2021-01-15 00:08:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68075334,https://inaturalist-open-data.s3.amazonaws.com/photos/110141347/medium.jpeg,,,,1,0,False,,"8601 Lindbergh Blvd., Philadelphia, PA 19153, USA",39.8921524,-75.2572137,565.0,,,,565.0,,open,False,,,White-throated Sparrow,Zonotrichia albicollis,White-throated Sparrow,Aves,9184
17,6583,11566,68075336,2021/01/14 12:17 PM EST,2021-01-14,2021-01-14 17:17:00 UTC,Eastern Time (US & Canada),2350911,kellyfrank98,2021-01-14 22:52:15 UTC,2021-01-15 00:08:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68075336,https://inaturalist-open-data.s3.amazonaws.com/photos/110141360/medium.jpeg,,,,1,0,False,,"8601 Lindbergh Blvd., Philadelphia, PA 19153, USA",39.8921524,-75.2572137,565.0,,,,565.0,,open,False,,,White-throated Sparrow,Zonotrichia albicollis,White-throated Sparrow,Aves,9184
18,6584,11567,68075337,2021/01/14 12:18 PM EST,2021-01-14,2021-01-14 17:18:00 UTC,Eastern Time (US & Canada),2350911,kellyfrank98,2021-01-14 22:52:16 UTC,2021-01-14 23:52:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68075337,https://inaturalist-open-data.s3.amazonaws.com/photos/110141380/medium.jpeg,,,,1,0,False,,"8601 Lindbergh Blvd., Philadelphia, PA 19153, USA",39.8921524,-75.2572137,565.0,,,,565.0,,open,False,,,Red-shouldered Hawk,Buteo lineatus,Red-shouldered Hawk,Aves,5206
19,6585,11568,68075338,2021/01/14 12:28 PM EST,2021-01-14,2021-01-14 17:28:00 UTC,Eastern Time (US & Canada),2350911,kellyfrank98,2021-01-14 22:52:16 UTC,2021-01-15 00:07:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68075338,https://inaturalist-open-data.s3.amazonaws.com/photos/110141394/medium.jpeg,,,,1,0,False,,"8601 Lindbergh Blvd., Philadelphia, PA 19153, USA",39.8921524,-75.2572137,565.0,,,,565.0,,open,False,,,American Coot,Fulica americana,American Coot,Aves,473
20,6587,11570,68075340,2021/01/14 12:59 PM EST,2021-01-14,2021-01-14 17:59:00 UTC,Eastern Time (US & Canada),2350911,kellyfrank98,2021-01-14 22:52:17 UTC,2021-01-14 23:19:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68075340,https://inaturalist-open-data.s3.amazonaws.com/photos/110141406/medium.jpeg,,,,1,0,False,,"8601 Lindbergh Blvd., Philadelphia, PA 19153, USA",39.8921524,-75.2572137,565.0,,,,565.0,,open,False,,,Great Blue Heron,Ardea herodias,Great Blue Heron,Aves,4956
21,6588,11571,68075341,2021/01/14 1:01 PM EST,2021-01-14,2021-01-14 18:01:00 UTC,Eastern Time (US & Canada),2350911,kellyfrank98,2021-01-14 22:52:17 UTC,2021-01-14 23:19:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68075341,https://inaturalist-open-data.s3.amazonaws.com/photos/110141410/medium.jpeg,,,,1,0,False,,"8601 Lindbergh Blvd., Philadelphia, PA 19153, USA",39.8921524,-75.2572137,565.0,,,,565.0,,open,False,,,American Coot,Fulica americana,American Coot,Aves,473
22,6589,11572,68075342,2021/01/14 1:20 PM EST,2021-01-14,2021-01-14 18:20:00 UTC,Eastern Time (US & Canada),2350911,kellyfrank98,2021-01-14 22:52:17 UTC,2021-01-14 23:01:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68075342,https://inaturalist-open-data.s3.amazonaws.com/photos/110141423/medium.jpeg,,,,1,0,False,,"8601 Lindbergh Blvd., Philadelphia, PA 19153, USA",39.8921524,-75.2572137,565.0,,,,565.0,,open,False,,,Great Blue Heron,Ardea herodias,Great Blue Heron,Aves,4956
23,6592,11575,68075345,2021/01/14 1:47 PM EST,2021-01-14,2021-01-14 18:47:00 UTC,Eastern Time (US & Canada),2350911,kellyfrank98,2021-01-14 22:52:18 UTC,2021-01-14 23:20:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68075345,https://inaturalist-open-data.s3.amazonaws.com/photos/110141441/medium.jpeg,,,,1,0,False,,"8601 Lindbergh Blvd., Philadelphia, PA 19153, USA",39.8921524,-75.2572137,565.0,,,,565.0,,open,False,,,Downy Woodpecker,Dryobates pubescens,Downy Woodpecker,Aves,792988
24,6593,11576,68075346,2021/01/14 1:49 PM EST,2021-01-14,2021-01-14 18:49:00 UTC,Eastern Time (US & Canada),2350911,kellyfrank98,2021-01-14 22:52:19 UTC,2021-01-14 22:57:36 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68075346,https://inaturalist-open-data.s3.amazonaws.com/photos/110141452/medium.jpeg,,,,1,0,False,,"8601 Lindbergh Blvd., Philadelphia, PA 19153, USA",39.8921524,-75.2572137,565.0,,,,565.0,,open,False,,,Hairy Woodpecker,Dryobates villosus,Hairy Woodpecker,Aves,792990
25,6594,11577,68075347,2021/01/14 1:49 PM EST,2021-01-14,2021-01-14 18:49:00 UTC,Eastern Time (US & Canada),2350911,kellyfrank98,2021-01-14 22:52:19 UTC,2021-01-14 22:57:32 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68075347,https://inaturalist-open-data.s3.amazonaws.com/photos/110141457/medium.jpeg,,,,1,0,False,,"8601 Lindbergh Blvd., Philadelphia, PA 19153, USA",39.8921524,-75.2572137,565.0,,,,565.0,,open,False,,,Song Sparrow,Melospiza melodia,Song Sparrow,Aves,9100
26,6595,11578,68075348,2021/01/14 2:16 PM EST,2021-01-14,2021-01-14 19:16:00 UTC,Eastern Time (US & Canada),2350911,kellyfrank98,2021-01-14 22:52:19 UTC,2021-01-14 22:57:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68075348,https://inaturalist-open-data.s3.amazonaws.com/photos/110141465/medium.jpeg,,,,1,0,False,,"8601 Lindbergh Blvd., Philadelphia, PA 19153, USA",39.8921524,-75.2572137,565.0,,,,565.0,,open,False,,,Brown Creeper,Certhia americana,Brown Creeper,Aves,7458
27,6615,11621,68163284,Fri Jan 15 2021 16:12:50 GMT-0500 (EST),2021-01-15,2021-01-15 21:12:50 UTC,Eastern Time (US & Canada),1790321,laurenhallden,2021-01-16 17:58:32 UTC,2021-01-17 00:28:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68163284,https://inaturalist-open-data.s3.amazonaws.com/photos/110301880/medium.jpg,,,,3,0,False,3.0,"N Schuylkill River Trail, Philadelphia, PA, US",39.9838033333,-75.2032283333,,,,,,,open,False,,,Red-tailed Hawk,Buteo jamaicensis,Red-tailed Hawk,Aves,5212
28,6617,11623,68164303,Sat Jan 16 2021 10:53:53 GMT-0500 (EST),2021-01-16,2021-01-16 15:53:53 UTC,Eastern Time (US & Canada),2317548,josephrucker,2021-01-16 18:15:47 UTC,2021-01-17 00:28:03 UTC,research,CC-BY,https://www.inaturalist.org/observations/68164303,https://static.inaturalist.org/photos/110303479/medium.jpg,,,,1,0,False,3.0,"Fairmount Park, Philadelphia, PA, US",39.9660585774,-75.1829481684,5.0,,,,5.0,,open,False,,,Red-tailed Hawk,Buteo jamaicensis,Red-tailed Hawk,Aves,5212
29,6618,11624,68164350,Sat Jan 16 2021 09:59:04 GMT-0500 (EST),2021-01-16,2021-01-16 14:59:04 UTC,Eastern Time (US & Canada),2317548,josephrucker,2021-01-16 18:16:26 UTC,2021-01-26 15:11:38 UTC,research,CC-BY,https://www.inaturalist.org/observations/68164350,https://static.inaturalist.org/photos/110303528/medium.jpg,,,,1,0,False,3.0,"Schuylkill River, Philadelphia, PA, US",39.9592737961,-75.1800565341,76.0,,,,76.0,,open,False,,,Double-crested Cormorant,Phalacrocorax auritus,Double-crested Cormorant,Aves,4265
30,6624,11641,68216583,Sun Jan 17 2021 10:12:42 GMT-0500 (EST),2021-01-17,2021-01-17 15:12:42 UTC,Eastern Time (US & Canada),1647651,beatriceranger,2021-01-17 15:45:14 UTC,2021-02-04 13:20:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68216583,https://inaturalist-open-data.s3.amazonaws.com/photos/110399439/medium.jpg,,,,2,0,False,3.0,"Schuylkill River, Philadelphia, PA, US",39.9652150974,-75.1837973843,357.0,,,,357.0,,open,False,,,Hooded Merganser,Lophodytes cucullatus,Hooded Merganser,Aves,7109
31,6628,11645,68222920,Sat Jan 16 2021 11:38:39 GMT-0500 (EST),2021-01-16,2021-01-16 16:38:39 UTC,Eastern Time (US & Canada),142840,dwiebe,2021-01-17 17:52:58 UTC,2021-01-17 18:08:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68222920,https://inaturalist-open-data.s3.amazonaws.com/photos/110411099/medium.jpg,,,,1,0,False,3.0,"S 24th St, Philadelphia, PA, US",39.9505942156,-75.1803030828,395.0,,,,395.0,,open,False,,,American Robin,Turdus migratorius,American Robin,Aves,12727
32,6632,11649,68227924,2021/01/17 9:36 AM HST,2021-01-17,2021-01-17 19:36:00 UTC,Hawaii,1686639,phillyphantailphan,2021-01-17 19:29:33 UTC,2021-01-17 22:03:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68227924,https://inaturalist-open-data.s3.amazonaws.com/photos/110420169/medium.jpeg,,,,1,0,False,,"Roxborough, Philadelphia, PA, USA",40.0555997343,-75.2417121666,37.0,,,,37.0,,open,False,,,Red-tailed Hawk,Buteo jamaicensis,Red-tailed Hawk,Aves,5212
33,6635,11652,68255014,Sun Jan 17 2021 13:33:20 GMT-0500 (EST),2021-01-17,2021-01-17 18:33:20 UTC,Eastern Time (US & Canada),1835657,lewhaar01,2021-01-18 03:58:23 UTC,2021-01-18 04:14:52 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68255014,https://inaturalist-open-data.s3.amazonaws.com/photos/110471801/medium.jpg,,,,1,0,False,3.0,"Rittenhouse Square, Philadelphia, PA, US",39.94905833,-75.171395,65.0,,,,65.0,,open,False,,,Red-tailed Hawk,Buteo jamaicensis,Red-tailed Hawk,Aves,5212
34,6638,11656,68281148,Mon Jan 18 2021 12:40:03 GMT-0500 (EST),2021-01-18,2021-01-18 17:40:03 UTC,Eastern Time (US & Canada),1647651,beatriceranger,2021-01-18 18:09:23 UTC,2021-01-18 20:47:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68281148,https://inaturalist-open-data.s3.amazonaws.com/photos/110523636/medium.jpg,,,,1,0,False,3.0,"Wissahickon Valley Park, Philadelphia, PA, US",40.053996702,-75.2180472496,357.0,,,,357.0,,open,False,,,Canada Goose,Branta canadensis,Canada Goose,Aves,7089
35,6648,11675,68340687,Tue Jan 19 2021 15:56:06 GMT-0500 (EST),2021-01-19,2021-01-19 20:56:06 UTC,Eastern Time (US & Canada),1647651,beatriceranger,2021-01-19 21:10:30 UTC,2021-01-19 23:59:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68340687,https://inaturalist-open-data.s3.amazonaws.com/photos/110633017/medium.jpg,,,,2,0,False,3.0,"Upper Roxborough, Philadelphia, PA, US",40.0385187829,-75.2447840192,5.0,,,,5.0,,open,False,,,Song Sparrow,Melospiza melodia,Song Sparrow,Aves,9100
36,6652,11679,68351963,Tue Jan 19 2021 15:56:32 GMT-0500 (EST),2021-01-19,2021-01-19 20:56:32 UTC,Eastern Time (US & Canada),142840,dwiebe,2021-01-20 02:35:21 UTC,2021-01-21 16:25:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68351963,https://inaturalist-open-data.s3.amazonaws.com/photos/110653755/medium.jpg,,,,1,0,False,3.0,"Schuylkill River, Philadelphia, PA, US",39.950986556,-75.1819511249,395.0,,,,395.0,,open,False,,,Double-crested Cormorant,Phalacrocorax auritus,Double-crested Cormorant,Aves,4265
37,6657,11684,68388917,2021/01/17 10:48 AM EST,2021-01-17,2021-01-17 15:48:00 UTC,Eastern Time (US & Canada),13935,jimbrighton,2021-01-21 01:19:31 UTC,2021-01-21 01:24:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68388917,https://inaturalist-open-data.s3.amazonaws.com/photos/110723802/medium.jpg,,,,1,0,False,,"Fairmount Park, Philadelphia, PA, USA",39.9859799607,-75.1937023019,61.0,,,,61.0,,open,False,,,Canada Goose,Branta canadensis,Canada Goose,Aves,7089
38,6659,11686,68389137,2021/01/17 11:22 AM EST,2021-01-17,2021-01-17 16:22:00 UTC,Eastern Time (US & Canada),13935,jimbrighton,2021-01-21 01:25:37 UTC,2021-01-21 13:59:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68389137,https://inaturalist-open-data.s3.amazonaws.com/photos/110724199/medium.jpg,,,,2,0,False,,"Fairmount Park, Philadelphia, PA, USA",39.9840690459,-75.2050906051,15.0,,,,15.0,,open,False,,,Double-crested Cormorant,Phalacrocorax auritus,Double-crested Cormorant,Aves,4265
39,6660,11687,68389191,2021/01/17 11:27 AM EST,2021-01-17,2021-01-17 16:27:00 UTC,Eastern Time (US & Canada),13935,jimbrighton,2021-01-21 01:27:28 UTC,2021-01-21 13:59:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68389191,https://inaturalist-open-data.s3.amazonaws.com/photos/110724314/medium.jpg,,,,2,0,False,,"Fairmount Park, Philadelphia, PA, USA",39.9864375406,-75.2012090647,8.0,,,,8.0,,open,False,,,Canada Goose,Branta canadensis,Canada Goose,Aves,7089
40,6661,11688,68390655,2021/01/17 11:52 AM EST,2021-01-17,2021-01-17 16:52:00 UTC,Eastern Time (US & Canada),13935,jimbrighton,2021-01-21 02:10:23 UTC,2021-02-27 21:00:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68390655,https://inaturalist-open-data.s3.amazonaws.com/photos/110727158/medium.jpg,,,,3,0,False,,"Fairmount Park, Philadelphia, PA, USA",39.9864931407,-75.212166896,31.0,,,,31.0,,open,False,,,Canada Goose,Branta canadensis,Canada Goose,Aves,7089
41,6678,11720,68523175,2021-01-01 9:09:26 AM EST,2021-01-01,2021-01-01 14:09:26 UTC,Eastern Time (US & Canada),589899,robizzy,2021-01-24 01:38:15 UTC,2021-01-24 04:35:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68523175,https://inaturalist-open-data.s3.amazonaws.com/photos/110975455/medium.jpeg,,,,1,0,False,2.0,"South Philadelphia West, Philadelphia, PA, USA",39.9024583333,-75.1786444444,,,,,,,open,False,gps,gps,Downy Woodpecker,Dryobates pubescens,Downy Woodpecker,Aves,792988
42,6688,11733,68565922,Sun Jan 24 2021 15:51:12 GMT-0500 (EST),2021-01-24,2021-01-24 20:51:12 UTC,Eastern Time (US & Canada),142840,dwiebe,2021-01-24 21:23:50 UTC,2021-01-24 21:24:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68565922,https://inaturalist-open-data.s3.amazonaws.com/photos/111057174/medium.jpg,,,,1,0,False,3.0,"S 24th St, Philadelphia, PA, US",39.9505998054,-75.1803115189,65.0,,,,65.0,,open,False,,,American Robin,Turdus migratorius,American Robin,Aves,12727
43,6690,11735,68565989,Sun Jan 24 2021 16:08:52 GMT-0500 (EST),2021-01-24,2021-01-24 21:08:52 UTC,Eastern Time (US & Canada),142840,dwiebe,2021-01-24 21:24:50 UTC,2021-01-24 21:26:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68565989,https://inaturalist-open-data.s3.amazonaws.com/photos/111057286/medium.jpg,,,,1,0,False,3.0,"S 24th St, Philadelphia, PA, US",39.9505887382,-75.1803068375,65.0,,,,65.0,,open,False,,,American Robin,Turdus migratorius,American Robin,Aves,12727
44,6692,11737,68578884,2021/01/14 11:36 AM EST,2021-01-14,2021-01-14 16:36:00 UTC,Eastern Time (US & Canada),505286,navin_sasikumar,2021-01-25 01:39:16 UTC,2021-01-25 01:40:25 UTC,research,CC-BY,https://www.inaturalist.org/observations/68578884,https://static.inaturalist.org/photos/111081794/medium.jpg,,,,1,0,False,,"East Falls, Philadelphia, PA 19129, USA",40.0138033,-75.190914,8.0,,,,8.0,,open,False,,,American Goldfinch,Spinus tristis,American Goldfinch,Aves,145310
45,6695,11740,68578889,2021/01/22 12:19 PM EST,2021-01-22,2021-01-22 17:19:00 UTC,Eastern Time (US & Canada),505286,navin_sasikumar,2021-01-25 01:39:17 UTC,2021-01-25 01:40:20 UTC,research,CC-BY,https://www.inaturalist.org/observations/68578889,https://static.inaturalist.org/photos/111081830/medium.jpg,,,,1,0,False,,"East Falls, Philadelphia, PA 19129, USA",40.0138033,-75.190914,8.0,,,,8.0,,open,False,,,American Robin,Turdus migratorius,American Robin,Aves,12727
46,6698,11748,68600623,2021/01/24 10:18 AM EST,2021-01-24,2021-01-24 15:18:00 UTC,Eastern Time (US & Canada),355844,dms215,2021-01-25 15:51:07 UTC,2021-01-25 15:59:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68600623,https://inaturalist-open-data.s3.amazonaws.com/photos/111123863/medium.jpeg,,,,1,0,False,,"North Philadelphia, Philadelphia, PA, USA",39.9860611111,-75.0791055556,,,,,,,open,False,,,Baltimore Oriole,Icterus galbula,Baltimore Oriole,Aves,9346
47,6699,11760,68621348,Mon Jan 25 2021 10:26:23 GMT-0500 (EST),2021-01-25,2021-01-25 15:26:23 UTC,Eastern Time (US & Canada),142840,dwiebe,2021-01-26 00:55:51 UTC,2021-01-26 02:00:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68621348,https://inaturalist-open-data.s3.amazonaws.com/photos/111162831/medium.jpg,,,,1,0,False,3.0,"N Schuylkill River Trail, Philadelphia, PA, US",39.98758,-75.20002,6.0,,,,6.0,,open,False,,,Great Blue Heron,Ardea herodias,Great Blue Heron,Aves,4956
